date,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
2005,,0.6,,,,,,2.6,2.6,,,0.2,0.0,,,24.0,,0.9,0.2,,,,,15.6,,,10.0,,,,,,,,,0.2,,,,,,22.1,10.7,,,49.6,3.3,,,,,0.0,0.0,0.3,,,7.4,11.8,,11.3,,,0.8,,,,,0.1,0.0,,5.5,,12.9,0.0,42.5,,0.3,,,,,,,,,25.1,,0.7,0.0,,24.6,1.0,,0.0,,0.5,0.6,,,,8.7,36.7,,,,4.2,,13.6,,2.4,,,,,,1.8,0.0,,74.2,,,,,,,,,6.5,8.6,10.9,,,,,,,,,,0.1,,,9.1,80.5,,,,0.2,,20.3,,8.6,,6.1,17.8,,0.9,0.5,,,,0.8,66.1,,,,,41.1,,,,,,0.2,0.1,50.6,,28.3,,0.7,,,,,,,,1.1,,,,,,,,,,2.6,2.3,,,,58.0,0.4,,0.2,1.0,,,,14.4,,,0.2,10.5,,
2006,,,,,,,,2.1,2.0,,,0.1,,,,,,0.4,0.2,,,,,12.5,,,8.3,,,5.8,,71.8,,,,0.2,,,,,2.1,,,,,,3.3,,,,,0.0,0.1,0.1,,,6.3,8.2,,7.7,,,0.8,,,,,0.1,0.0,,,,12.6,0.0,,,0.6,,,,11.7,,,,,21.1,,0.1,0.1,,30.6,0.8,0.0,0.4,,0.2,0.7,,,0.1,1.0,,14.0,,0.2,4.1,,8.4,,1.6,,,,,,1.5,0.0,,,,0.8,,49.7,0.5,,,0.3,4.2,,2.0,,,,4.2,,,,,,0.0,,,,,,,,0.1,,,,9.4,,7.9,15.6,14.9,0.7,0.1,,,7.4,0.4,,,,,,,,,,,,0.2,0.1,,,,,0.8,5.6,,,,,,,0.4,0.0,,,,0.9,,61.0,,,,1.8,,,,,0.2,,0.2,1.0,0.6,,,7.1,14.9,,0.3,,64.7,
2007,,,,,,,,1.7,1.5,,,0.4,,,,,,0.2,0.2,,,,5.9,9.5,0.1,,7.9,,,1.8,,,10.6,,31.4,0.2,,,,,,,,,,,1.8,,,,,0.0,0.1,0.0,,,6.1,8.5,,5.1,,,0.4,,,,,0.1,0.0,,,,14.2,0.0,,,0.5,,,,,47.9,,,,15.6,,0.1,0.1,,25.2,,,0.1,,0.5,0.7,,,,0.4,,,,,,,8.8,19.5,0.6,,,53.3,,,1.3,0.0,,,,,,,0.4,,,,,,1.0,,1.7,,,,,,,,0.0,,,,78.9,,,,0.1,,14.9,,6.7,,7.8,13.2,,0.5,0.3,,,5.3,0.2,,,,,,,,,,,,0.4,0.0,,,,,0.4,,,,,,,,0.4,0.0,,12.8,56.2,0.5,40.9,,,,,1.3,,,,,0.1,,0.2,1.0,0.4,,,,,,1.4,,,
2008,,0.2,,,,14.6,,1.6,0.9,,0.4,0.5,,,,,,0.2,0.1,,,,,8.3,,,6.5,,,1.3,,,,,,0.2,,61.9,,,,18.0,11.0,,,,2.4,34.4,,,,0.0,0.0,0.1,,,5.4,7.5,2.9,7.7,,,0.4,,,,1.0,0.1,0.0,,,,12.4,0.0,,,0.3,,,,,,,,,15.2,,0.0,0.1,,24.7,,,0.2,,0.5,0.7,,0.5,0.0,0.2,,,,0.2,,,3.3,,1.3,,,,,,1.4,0.0,,,,0.7,,,0.1,,11.8,,5.4,,1.0,,,,,70.8,,,,,0.1,,,,,,,,0.2,,,,4.1,,4.3,10.9,,0.2,0.1,,,4.1,0.1,,1.1,,,,,,,,,,0.4,0.0,,,18.7,,0.5,,,,,,,,0.6,0.1,,,,0.3,,,,,,0.6,,,,,0.0,,0.2,1.0,0.2,,,,11.1,,,,,
2009,,,,,,,,1.5,1.2,,,0.7,,,,,,0.1,0.1,,,,,8.8,,17.7,6.1,,,1.3,52.6,,,,,0.2,,,,,1.7,,9.6,,,,2.5,,0.9,,,0.1,0.0,0.5,,,4.7,7.3,,7.4,,,0.6,49.3,,,,0.1,0.0,,,,12.1,0.0,,,0.6,,,,,,,,,12.3,,0.1,0.1,32.9,21.0,1.5,,0.5,,0.5,0.9,,,,0.2,,,,,3.4,,1.5,,1.7,,,,,,2.2,0.0,,,,,3.8,48.2,0.4,,,,,,0.7,,,,,,,26.9,,,0.1,,,8.3,,,9.8,,0.1,,,,2.5,39.7,5.8,8.8,11.3,0.4,0.2,,,3.1,0.1,,,,,,,,,,,,0.4,0.0,,,,34.5,0.8,3.5,,,,,18.6,,0.5,0.0,,6.8,,0.2,,,1.3,,,0.7,,,,46.7,0.1,,0.2,1.0,0.3,,,,,,0.3,,,
2010,,,,,,,,0.7,1.0,,0.3,0.5,,,,18.2,,0.0,0.1,,,,,,,,,,,2.0,,,,,,0.2,,,,,,13.9,8.3,,,,1.5,,1.2,,,0.0,0.0,0.1,,,3.9,5.7,1.0,6.3,,,0.8,,30.8,,,0.1,0.1,,,29.8,14.4,0.0,,,1.0,,,,,,66.7,,,13.8,,0.1,0.1,,18.3,,,0.5,,0.2,1.3,,0.0,0.0,0.2,,,,0.5,2.9,,3.5,,1.7,,,,,,1.5,0.0,,80.2,68.4,,,,0.2,,,,4.5,,0.4,,1.1,,,,,,,8.2,0.0,,,,,34.9,10.4,,0.2,,9.4,,3.4,,5.5,6.8,,0.3,0.1,,,4.2,0.1,59.2,,,22.6,,,,,,,,0.5,0.0,,,18.0,,0.7,,,,,,,,0.5,0.0,,,,0.3,,,,,1.5,0.8,,,3.6,,0.0,,0.2,1.0,0.2,,14.7,,2.9,,0.0,,68.5,
2011,,,0.5,,,,,0.7,1.2,,,0.4,,,,,,0.0,0.2,,54.3,,,5.3,0.1,,5.3,,,2.5,,,,,,0.2,,,36.6,,0.9,10.2,6.8,,,35.4,1.8,,0.6,,,0.0,0.0,0.0,,,4.1,4.7,,5.3,,,1.0,,,,,0.0,0.0,,,,13.4,0.0,,,1.1,,,,,,,,,14.3,,0.1,0.1,22.5,15.7,,,0.5,,0.2,1.2,,,,0.1,,,,,1.9,,1.3,,1.0,0.0,,,,,0.7,0.1,,,,0.1,,,0.2,,,,,,0.2,,0.9,,,,,,,,0.1,,,,60.6,,9.1,,0.1,,9.6,,2.5,,5.0,6.5,,0.3,0.5,,,5.4,0.0,,,,,,41.0,,,38.7,,,0.4,0.0,,,,,1.1,,,,,,,,0.6,0.0,,,44.7,0.1,,58.9,,,,0.1,,,,,0.0,,0.2,1.0,0.1,,,,,,0.2,,,21.6
2012,,0.6,,,,,,0.6,0.8,,,0.6,,,,,,0.0,0.2,,,,1.7,6.5,,,4.5,,,2.3,,,,,,0.2,,,,,,8.5,6.7,,69.7,,1.7,,0.8,,,0.0,0.0,0.0,19.7,,3.8,4.5,0.9,4.6,,,0.7,,,,,0.1,0.1,,,,10.7,0.0,25.7,,1.5,,,,,24.5,,,29.2,17.0,,0.3,0.0,,13.7,,0.1,0.3,,0.7,1.2,,,,0.0,,,,0.2,0.8,,2.6,10.9,1.1,,,,,,0.9,0.0,,80.7,,,,,0.1,,,0.4,3.8,,0.1,,0.5,3.0,,,,,1.7,,0.1,,,,,33.8,6.9,,0.1,,,,3.5,,3.3,6.1,10.9,0.2,0.7,,,6.2,0.0,,,,,,,5.3,,,,,0.4,0.0,26.6,,,,0.9,2.6,,,,,,,0.5,0.0,,,,0.1,,,,,,0.1,,,,37.5,0.1,,0.2,1.0,0.2,,,,1.7,,,,,
2013,,,,,,,,0.6,1.7,,,0.3,,,,,,0.0,0.1,,,,,5.2,,,3.7,,,1.8,,65.1,,,,0.5,,,,,0.5,2.9,6.1,,,,1.6,,0.7,,,0.1,0.0,0.3,24.9,,3.0,3.2,,3.6,,,0.9,,,,0.4,0.1,0.1,,,,8.1,0.0,,,1.0,,,,,,,,,14.6,,0.2,0.0,,11.2,0.3,,0.7,,0.5,1.4,,0.7,,0.0,,,,,0.4,,2.6,,1.2,,,,,,0.7,0.1,,,,0.0,,,0.0,,,,,16.0,0.0,,,3.0,1.4,,,,,,0.1,,,,,,5.2,,0.1,,7.4,,2.2,,1.8,5.4,,0.4,0.9,,,6.6,0.0,53.7,1.2,,,,,5.8,1.2,,,,0.3,0.0,,,,,1.1,,,,,,,,0.7,0.0,,,,0.1,,,,,,0.3,,,,,0.0,0.0,0.2,1.0,0.2,,,,,,,,,
2014,,1.0,,,,,,0.6,1.4,,0.5,0.2,,,,,,0.0,0.1,,,,,4.3,,,3.3,,,1.7,39.6,,,,25.7,0.2,,,,,,2.1,5.4,18.6,,,1.5,,1.0,,,0.1,0.0,0.2,,,3.4,2.6,,3.4,,,0.8,,,,,0.1,0.0,,,,6.1,0.0,,,1.5,,,,9.5,,,,,13.3,,0.7,0.0,,9.3,0.8,,0.4,,0.5,1.2,,,,0.0,,,,0.2,1.1,,1.0,,0.8,,,25.9,,,1.3,0.1,,,,,,,0.0,,6.5,,3.7,,0.0,,0.3,1.6,,64.6,,,,,0.1,,,3.9,53.6,,4.5,,0.1,,,,2.9,,2.4,4.8,,0.4,0.5,,,7.0,0.0,,,,,,,6.9,,,,,0.7,0.0,,,20.5,,0.8,,,,,,15.3,,0.5,0.0,,,,0.1,24.4,,,,,0.2,,,,,0.0,,0.2,1.2,0.2,,,,1.9,,,19.8,,
2015,,0.1,,,,,,,1.1,,,0.7,,,,,,0.0,0.1,,50.7,,,4.6,,15.4,3.9,,,3.4,,,4.6,,,0.2,,,,,0.4,1.2,4.9,,,,1.6,33.4,0.6,,,0.0,0.0,0.2,,,2.5,3.4,0.9,2.3,,,0.6,,27.0,,,0.1,0.1,,,13.4,4.9,0.0,,,1.4,,,,,,,,,13.0,,0.6,0.0,18.7,8.3,0.7,,0.4,,0.5,1.9,,,,0.0,29.4,,,,0.8,,2.2,,0.7,,,,,,0.7,0.3,,,,0.0,,,0.1,,,,,,0.0,,,1.3,,,6.2,15.6,,,0.1,,,,,32.3,5.5,,0.2,,5.1,,1.5,,1.9,4.7,6.5,0.4,0.5,,,5.3,0.0,,,,,,,6.6,,,,,0.7,0.0,,,,,0.9,,,,,,,,0.6,0.0,,6.1,,0.0,,54.7,1.8,,0.1,0.2,,,,,0.1,,0.2,1.2,0.1,,,,,,,,61.4,
